"","peakIndex","peakPPM","peakValue","peakSNR","peakScale","Sample"
"363",21331,7.59486,16.737826443563,2.650618907926,7,14
"364",21331,7.59682,18.2989487527366,3.28492633666306,4.5,15
"365",21369,7.58606,18.3461014018714,4.16139727029958,8.5,2
"366",21369,7.58752,12.9426941749627,2.47220384702537,4.5,6
"367",21369,7.58679,23.4914873404265,4.00296772811674,7,11
"368",21369,7.58581,13.6927621029485,3.26679172060148,2,13
"369",21369,7.58703,17.5417367470218,2.77792694626715,11,14
"370",21369,7.58777,34.3520570456795,6.16669178282869,15,15
"371",21369,7.58703,21.3639426824035,4.92257878985893,13.5,16
"372",21369,7.58361,13.0932555669229,0.94826909229391,14.5,5
"373",21369,7.58532,19.132985355244,3.3626465151337,7.5,7
"374",21369,7.58557,20.9892962116683,3.35383048244468,7,8
"375",21369,7.58557,19.2610478302709,1.65356359163939,8,9
"376",21369,7.58557,26.0724156211691,5.13009133023939,10.5,12
"377",21444,7.56796,14.965823773814,2.23977954675694,10,1
"378",21444,7.56698,16.7835949507669,2.65987857907903,10,2
"379",21444,7.56796,23.1981260815985,2.85456536810096,13.5,3
"380",21444,7.56747,15.5365818817868,1.38314382283507,4,4
"381",21444,7.56723,17.0218846501215,1.23279707050702,12,5
"382",21444,7.56772,11.8158063201272,1.64839888370623,4,6
"383",21444,7.56772,17.5030320848127,2.44491517603845,12.5,7
"384",21444,7.56772,21.0379907818786,1.80611438716676,8.5,9
"385",21444,7.56796,39.5227098310076,5.36630201354141,8.5,10
"386",21444,7.56796,11.5921600819363,1.81717697401926,5,13
"387",21511,7.55109,132.104766877283,19.77074963281,13,1
"388",21511,7.55109,175.196292223988,27.7652592419935,13,2
"389",21511,7.55133,259.058246744509,31.8775187649499,13,3
"390",21511,7.55109,316.102297580126,28.1409993271726,12,4
"391",21511,7.55084,395.968087695699,28.6776880797415,12,5
"392",21511,7.55158,157.353080564617,21.9520052481411,12,6
"393",21511,7.55133,191.287081356367,26.7199811965201,13,7
"394",21511,7.55133,309.086578629525,28.1703927415772,13,8
"395",21511,7.55158,228.447408345331,19.6122412639739,12,9
"396",21511,7.55158,207.086592844554,28.117738002046,14,10
"397",21511,7.55158,244.671907696731,29.4496164144499,13,11
"398",21511,7.55158,104.144505667319,16.5078514718704,12,12
"399",21511,7.55158,142.827703343025,22.3895470673699,13,13
"400",21511,7.55084,172.371358838903,22.167620025727,12,14
"401",21511,7.55133,231.126024595383,25.2945865896426,12,15
"402",21511,7.55109,140.222927013042,24.338247120038,11,16
"403",21566,7.53788,480.35202996574,71.6489335302564,13.5,1
"404",21566,7.53788,505.331271661249,80.0867188202441,13.5,2
"405",21566,7.53837,651.808462744519,80.2098261793772,13.5,3
"406",21566,7.53764,754.337014473097,80.1615642392809,13.5,4
"407",21566,7.53739,973.394584620359,80.1048735482223,13.5,5
"408",21566,7.53813,528.309952199854,78.4910254114416,13.5,6
"409",21566,7.53788,562.223058513909,80.1669086265071,13.5,7
"410",21566,7.53788,855.26375556569,80.1793792330359,13.5,8
"411",21566,7.53813,933.729594593918,80.1622765481748,13.5,9
"412",21566,7.53837,543.115458505562,75.3033010525106,13.5,10
"413",21566,7.53813,625.764532853899,79.138939143716,13.5,11
"414",21566,7.53813,416.89618134232,67.2265718772205,13.5,12
"415",21566,7.53813,464.774048216767,73.5810158205721,13.5,13
"416",21566,7.53788,563.271961182902,76.6944306688319,13.5,14
"417",21566,7.53813,585.962680132586,68.6442452939424,13.5,15
"418",21566,7.53788,455.574874536008,80.1317438051795,13.5,16
"419",21619,7.52443,370.320573007332,55.2367273688449,12.5,1
"420",21619,7.52517,319.914833423667,50.7012543011617,13,2
"421",21619,7.52541,394.750118106669,48.5769058970243,13.5,3
"422",21619,7.52468,432.527623294583,45.9636610623046,12.5,4
"423",21619,7.52468,553.676597525681,45.5644550855014,12.5,5
"424",21619,7.52517,385.706650310322,57.3044485813831,13.5,6
"425",21619,7.52443,403.843047915529,57.5836373685363,12.5,7
"426",21619,7.52517,527.850901991605,49.4850359013422,12.5,8
"427",21619,7.52517,702.511706201837,60.3118268896396,13.5,9
"428",21619,7.52517,386.111019641146,53.5345365269719,13.5,10
"429",21619,7.52517,411.250083619898,52.0098114094329,13,11
"430",21619,7.52443,369.997428328022,59.6639159173693,13.5,12
"431",21619,7.52468,367.962082397545,58.2541643840596,13.5,13
"432",21619,7.52492,357.300548381932,48.6496115983937,12.5,14
"433",21619,7.52517,368.591693850214,43.1797100802371,13.5,15
"434",21619,7.52492,343.992138702486,60.5052900636307,13.5,16
"435",21664,7.51343,10.900264720269,1.62587497019728,7.5,1
"436",21664,7.51367,10.8039718557068,1.5405291751092,4,7
"437",21664,7.51441,13.0212513269837,1.22071798487982,3.5,8
"438",21664,7.51367,11.4993386527351,1.56573607744915,4.5,14
"439",21664,7.51392,11.3864695881817,1.3338999870543,5,15
"440",21721,7.49998,36.0415905643145,5.37593549225026,17,1
"441",21721,7.49998,84.8528378905718,13.447783167865,16,2
